Filename                                                             Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
libs/core/include/sen/core/meta/method.h                                  17                 0   100.00%           5                 0   100.00%          17                 0   100.00%           8                 0   100.00%
libs/core/include/sen/core/meta/native_types.h                            13                 0   100.00%          12                 0   100.00%          12                 0   100.00%           0                 0         -
libs/core/include/sen/core/meta/optional_traits.h                         22                 8    63.64%           5                 1    80.00%          53                12    77.36%          14                 6    57.14%
libs/core/include/sen/core/meta/optional_type.h                           14                 0   100.00%           4                 0   100.00%          14                 0   100.00%           8                 0   100.00%
libs/core/include/sen/core/meta/property.h                                24                 0   100.00%           4                 0   100.00%          23                 0   100.00%          16                 0   100.00%
libs/core/include/sen/core/meta/quantity_type.h                           42                 0   100.00%           4                 0   100.00%          25                 0   100.00%          26                 1    96.15%
libs/core/include/sen/core/meta/sequence_traits.h                          5                 0   100.00%           5                 0   100.00%           5                 0   100.00%           0                 0         -
libs/core/include/sen/core/meta/sequence_type.h                           23                 0   100.00%           4                 0   100.00%          21                 0   100.00%          14                 0   100.00%
libs/core/include/sen/core/meta/struct_traits.h                           16                 0   100.00%           6                 0   100.00%          60                 0   100.00%           8                 0   100.00%
libs/core/include/sen/core/meta/struct_type.h                             31                 0   100.00%           7                 0   100.00%          30                 0   100.00%          20                 0   100.00%
libs/core/include/sen/core/meta/time_types.h                              21                 0   100.00%          16                 0   100.00%          41                 0   100.00%           4                 1    75.00%
libs/core/include/sen/core/meta/type.h                                    63                 2    96.83%          25                 0   100.00%          77                 2    97.40%          16                 4    75.00%
libs/core/include/sen/core/meta/type_registry.h                            2                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
libs/core/include/sen/core/meta/type_visitor.h                             4                 0   100.00%           4                 0   100.00%           4                 0   100.00%           0                 0         -
libs/core/include/sen/core/meta/unit.h                                    15                 0   100.00%           3                 0   100.00%           8                 0   100.00%          14                 3    78.57%
libs/core/include/sen/core/meta/unit_registry.h                            1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
